,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
307,belmonte,96,BR,1635630396,83,-15.8631,-38.8828,77.5,7.25
308,saint-francois,0,FR,1635630448,82,46.4154,3.9054,58.44,4.61
309,esperance,13,AU,1635630280,65,-33.8667,121.9,51.64,14.43
310,petropavlovsk-kamchatskiy,75,RU,1635630449,69,53.0452,158.6483,34.39,6.71
311,nagato,52,JP,1635630449,84,34.3833,131.2,62.51,3.24
312,vizinga,88,RU,1635630450,98,61.0749,50.1031,33.55,2.89
313,bilma,37,NE,1635630432,23,18.6853,12.9164,82.4,19.95
314,gorontalo,99,ID,1635630450,92,0.5412,123.0595,75.04,2.73
315,korla,33,CN,1635630451,36,41.7597,86.1469,46.69,1.05
316,parabel,100,RU,1635630451,72,58.6978,81.4825,24.57,6.96
317,lagoa,100,PT,1635630452,90,39.05,-27.9833,69.58,20.98
318,praia da vitoria,0,CV,1635630453,83,14.9215,-23.5087,77.54,10.36
319,coihaique,0,CL,1635630358,21,-45.5752,-72.0662,60.75,13.8
320,mumford,100,GH,1635630454,85,5.2618,-0.759,79.75,12.95
321,luena,100,AO,1635630455,93,-11.7833,19.9167,62.91,4.63
322,aspindza,88,GE,1635630455,79,41.5739,43.2483,48.58,5.19
323,nouadhibou,4,MR,1635630455,83,20.931,-17.0347,67.98,12.66
324,madang,99,PG,1635630456,87,-5.2246,145.7966,79.34,3.56
325,hervey bay,0,US,1635630456,33,33.4982,-93.7771,72.05,7.45
326,hambantota,80,LK,1635630457,85,6.1241,81.1185,78.53,4.54
327,podgornoye,0,RU,1635630457,81,51.735,39.1496,41.22,2.24
328,sjenica,0,RS,1635630458,78,43.2731,19.9994,39.4,4.94
329,qaqortoq,83,GL,1635630458,72,60.7167,-46.0333,30.7,5.28
330,miyazu,100,JP,1635630459,80,35.5333,135.1833,57.69,4.81
331,estreito,79,BR,1635630208,66,-5.7833,-43.25,78.24,2.53
332,cabo san lucas,2,BR,1635630459,70,-8.2833,-35.0333,80.53,8.88
333,faanui,15,PF,1635630460,69,-16.4833,-151.75,78.17,15.5
334,kibara,87,TZ,1635630461,69,-2.15,33.45,71.64,8.3
335,khed brahma,10,IN,1635630462,63,17.7167,73.3833,75.79,4.52
336,kutum,24,SD,1635630462,17,14.2,24.6667,74.53,11.12
337,prado,73,BR,1635630463,82,-17.3411,-39.2208,75.43,8.61
338,maple creek,100,CA,1635630244,96,43.8501,-79.5163,48.88,7.11
339,itoman,20,JP,1635630463,76,26.1247,127.6694,71.62,4.61
340,bowen,13,AU,1635630463,67,-20.0167,148.2333,75.42,2.19
341,nantucket,90,US,1635630464,89,41.2835,-70.0995,62.71,21.85
342,zhob,1,PK,1635630465,22,31.3411,69.4481,57.02,5.5
343,zhezkazgan,100,KZ,1635630465,69,47.8043,67.7144,42.98,15.37
344,churachandpur,74,IN,1635630466,89,24.3333,93.6667,62.92,0.45
345,singaraja,100,ID,1635630466,82,-8.112,115.0882,76.96,1.68
346,tevriz,100,RU,1635630467,95,57.509,72.4042,25.32,2.55
347,namibe,68,AO,1635630436,76,-15.1961,12.1522,67.03,9.13
348,revelganj,0,IN,1635630468,60,25.7833,84.6667,64.31,6.02
349,yuli,93,NG,1635630468,31,9.6989,10.2744,80.47,2.42
350,agadez,48,NE,1635630468,25,19.75,10.25,77.97,11.27
351,seoul,20,KR,1635630384,97,37.5683,126.9778,49.44,1.14
352,innisfail,35,AU,1635630333,68,-17.5333,146.0333,81.75,2.8
353,vinderei,0,RO,1635630469,90,46.15,27.8,43.03,2.59
354,baruun-urt,18,MN,1635630470,39,46.6806,113.2792,20.52,2.98
355,srednekolymsk,100,RU,1635630404,97,67.45,153.6833,-6.77,5.55
356,papara,39,BR,1635630471,81,-3.9839,-38.7273,79.2,4.03
357,skjervoy,100,NO,1635630471,69,70.0311,20.9714,40.95,8.21
358,boshnyakovo,100,RU,1635630472,87,49.6333,142.1667,34.7,9.4
359,ixtapa,40,MX,1635630472,82,20.7,-105.2,85.23,4.0
360,naryan-mar,100,RU,1635630473,92,67.6713,53.087,17.49,13.11
361,galle,86,LK,1635630473,89,6.0367,80.217,77.14,2.46
362,inuvik,75,CA,1635630473,93,68.3499,-133.7218,18.61,0.0
363,arica,0,CL,1635630474,72,-18.475,-70.3042,71.15,10.36
364,deder,79,ET,1635630475,76,9.3167,41.45,53.19,4.7
365,tarauaca,55,BR,1635630475,56,-8.1614,-70.7656,85.87,4.38
366,novouzensk,6,RU,1635630476,74,50.4592,48.1431,41.94,8.72
